Title,Original Language
Bamboo People #377,km
Ilustrado #1228,fil
Laskar Pelangi #354,id
Voices from S-21 #814,km
토지 #1026,ko
Negeri 5 Menara #299,id
Survival in the Killing Fields #652,km
Ang Paboritong Libro ni Hudas #190,fil
Negeri 5 Menara #759,id
Mga Ibong Mandaragit #487,fil
"Stay Alive, My Son #385",km
Luha ng Buwaya #1185,fil
A Cambodian Prison Portrait #1055,km
Panglima Awang #90,ms
Sa Mga Kuko ng Liwanag #233,fil
Dekada '70 #626,fil
태백산맥 #1068,ko
白鹿原 #965,zh
海辺のカフカ: Volume 3,ja
風の歌を聴け #784,ja
Dead Stars #137,fil
Dekada '70 #806,fil
Jejak Langkah #1103,id
Sulalat al-Salatin #223,ms
Banaag at Sikat #1024,fil
三体 #961,zh
Layar Terkembang #1127,id
El Filibusterismo #322,fil
西游记 #927,zh
Bamboo People #957,km
金閣寺 #852,ja
ตำนานสมเด็จพระนารายณ์ #135,th
The Gate: Volume 1,km
จดหมายจากหมาเบื่อ #941,th
난장이가 쏘아올린 작은 공 #692,ko
Gadis Jolobu (2019),ms
海辺のカフカ #643,ja
走れメロス #958,ja
红楼梦 #86,zh
엄마를 부탁해 #896,ko
In the Shadow of the Banyan #1164,km
Mga Ibong Mandaragit #1107,fil
"Stay Alive, My Son",km
Hikayat Hang Tuah #481,ms
A Cambodian Prison Portrait (2014),km
소년이 온다 #462,ko
こころ #946,ja
ขุนช้างขุนแผน #1146,th
아리랑 #927,ko
상록수 #1210,ko
To Destroy You Is No Loss #1248,km
Bidasari #1151,ms
彷徨 #973,zh
Children of Cambodia's Killing Fields (2008),km
Lucky Child #931,km
人間失格 #1196,ja
Ang Paboritong Libro ni Hudas #110,fil
Little Princes #658,km
Anak Semua Bangsa #1062,id
무진기행 #274,ko
Anak Semua Bangsa #122,id
토지 #1186,ko
소년이 온다 #542,ko
平凡的世界 #84,zh
阿Q正传 #495,zh
ศรีบูรพา #109,th
秋: Volume 4,zh
토지 #306,ko
Florante at Laura #1123,fil
Ang Paboritong Libro ni Hudas #290,fil
The Rosales Saga #535,fil
สุภาพบุรุษจุฑาเทพ #157,th
Merpati Putih Terbang Lagi #272,ms
人間失格 #336,ja
Supernova #938,id
สี่แผ่นดิน #1185,th
痴人の愛 #895,ja
완득이 #439,ko
"Stay Alive, My Son - Part 5",km
围城 #1043,zh
ABNKKBSNPLAko?! #312,fil
子夜 #796,zh
ノルウェイの森 #581,ja
คนละฟากฟ้า #833,th
Lagenda Budak Setan - Part 5,ms
ฟ้าใหม่ #1140,th
ABNKKBSNPLAko?! #352,fil
A Cambodian Prison Portrait #495,km
Florante at Laura #643,fil
Lagenda Budak Setan #875,ms
Mga Ibong Mandaragit #687,fil
Sa Mga Kuko ng Liwanag #793,fil
伊豆の踊子 #810,ja
รักไม่มีสิทธิ์ #419,th
Ayah #576,id
How My Brother Leon Brought Home a Wife #139,fil
ノルウェイの森 #901,ja
Ronggeng Dukuh Paruk #310,id
May Day Eve #980,fil
Florante at Laura #123,fil
細雪 #414,ja
Hikayat Hang Tuah #1021,ms
토지 #346,ko
Atheis #828,id
무진기행 #174,ko
In the Shadow of the Banyan #1184,km
สุภาพบุรุษจุฑาเทพ #177,th
金瓶梅 #530,zh
Belenggu #969,id
Supernova #1178,id
채식주의자 #1041,ko
Lelaki Harimau #272,id
Dead Stars #1217,fil
서울 1964년 겨울 - Part 5,ko
Bidasari #451,ms
무정 #769,ko
水浒传 #588,zh
"Stay Alive, My Son #1125",km
Anak Semua Bangsa #762,id
สี่แผ่นดิน - Part 5,th
เลือดมังกร #692,th
จดหมายจากหมาเบื่อ #1221,th
Siti Nurbaya #626,id
จดหมายจากหมาเบื่อ #441,th
Little Princes #778,km
Padre Faura Witness the Execution of Rizal #356,fil
三体 #581,zh
Laskar Pelangi #1214,id
서울 1964년 겨울 #855,ko
破戒 #991,ja
Kekasih Electra #673,ms
Atheis #508,id
한강 #344,ko
한강 #504,ko
Menara #159,ms
走れメロス #1138,ja
Cantik Itu Luka #491,id
아리랑 #1227,ko
ศรีบูรพา #1169,th
"Stay Alive, My Son #565",km
呐喊 #472,zh
人間失格 #1176,ja
Florante at Laura #283,fil
난장이가 쏘아올린 작은 공 #1072,ko
ข้าหลวง #1214,th
家 #737,zh
雪国 #109,ja
破戒 #751,ja
Voices from S-21 #674,km
伊豆の踊子 #1050,ja
The Rosales Saga #475,fil
무진기행 #514,ko
活着,zh
살인자의 기억법: Volume 2,ko
สี่แผ่นดิน #345,th
Mga Kuwento ni Lola Basyang #1011,fil
태백산맥 #208,ko
ข้าหลวง #154,th
Ilustrado #1028,fil
Kekasih Electra #893,ms
The Lost Executioner #742,km
ศรีบูรพา #909,th
彷徨 #953,zh
รักไม่มีสิทธิ์ #479,th
Kekasih Electra #853,ms
Layar Terkembang #1207,id
呐喊 #832,zh
呐喊 #312,zh
Ilustrado #428,fil
Dekada '70 #586,fil
狂人日记 #1114,zh
Dekada '70 #126,fil
Belenggu #369,id
平凡的世界 #924,zh
มัจจุราชเริงรำ #1058,th
Gapo #894,fil
Layar Terkembang #207,id
Ronggeng Dukuh Paruk #170,id
우리들의 행복한 시간 #1240,ko
ชาติหน้าขอให้พบกัน #511,th
1Q84 #382,ja
Hujan #120,id
Gapo #374,fil
Ronggeng Dukuh Paruk #490,id
红楼梦 #446,zh
細雪 #934,ja
1Q84 #102,ja
Lagenda Budak Setan #775,ms
金閣寺 #572,ja
มัจจุราชเริงรำ #458,th
金閣寺 #492,ja
走れメロス #858,ja
살인자의 기억법 #977,ko
Hikayat Hang Tuah #961,ms
When Broken Glass Floats #487,km
พระอภัยมณี #787,th
The Gate #706,km
완득이 #319,ko
Smaller and Smaller Circles #89,fil
Hikayat Hang Tuah #1141,ms
Dead Stars #997,fil
Interlok #907,ms
Cantik Itu Luka #1131,id
Padre Faura Witness the Execution of Rizal #956,fil
Anak Mat Lela Gila #689,ms
Mga Kuwento ni Lola Basyang #791,fil
Lelaki Harimau #932,id
走れメロス #718,ja
Merpati Putih Terbang Lagi #492,ms
ฟ้าใหม่ #1200,th
Anak Mat Lela Gila #169,ms
Hikayat Hang Tuah #641,ms
Leftenan Adnan #256,ms
Lucky Child #951,km
白鹿原 #685,zh
아리랑 #387,ko
伊豆の踊子 #1130,ja
Negeri 5 Menara #1019,id
สุภาพบุรุษจุฑาเทพ #817,th
ข้าหลวง #194,th
白鹿原 #745,zh
吾輩は猫である #628,ja
รักไม่มีสิทธิ์ #1019,th
Golden Bones #639,km
Bamboo People #337,km
광장 #953,ko
1Q84 #1102,ja
Gadis Jolobu #720,ms
Belenggu #869,id
아리랑 #607,ko
ฟ้าใหม่ #560,th
Kekasih Electra #1133,ms
Tenggelamnya Kapal Van Der Wijck #584,ms
Pulang #273,id
破戒 #1011,ja
삼대 #1171,ko
엄마를 부탁해 #1056,ko
Banaag at Sikat #964,fil
Bidasari #671,ms
ด้วยรักและผูกพัน #222,th
จดหมายจากหมาเบื่อ #281,th
Lagenda Budak Setan #155,ms
斜陽 #1057,ja
1Q84 #942,ja
羊をめぐる冒険 #565,ja
삼대 #311,ko
春 #1138,zh
ข้าหลวง #794,th
Merpati Putih Terbang Lagi #692,ms
Banaag at Sikat #84,fil
Leftenan Adnan #456,ms
Bumi Manusia #361,id
Ang Paboritong Libro ni Hudas: Volume 5,fil
El Filibusterismo #842,fil
ศรีบูรพา #849,th
상록수 #110,ko
Panglima Awang #570,ms
白鹿原 #705,zh
三体 #921,zh
난장이가 쏘아올린 작은 공 #1192,ko
斜陽 (2016),ja
Atheis #948,id
水浒传 - Part 8,zh
Little Princes #298,km
Survival in the Killing Fields #1232,km
仮面の告白 #533,ja
坊っちゃん #587,ja
The Rosales Saga #1135,fil
人間失格 #696,ja
서울 1964년 겨울 #795,ko
살인자의 기억법 #537,ko
围城 #103,zh
สี่แผ่นดิน #165,th
Sulalat al-Salatin #243,ms
Anak Semua Bangsa #342,id
Siti Nurbaya #925,ms
三体 #121,zh
상록수 #1150,ko
"Stay Alive, My Son #1025",km
吾輩は猫である #908,ja
Laskar Pelangi #534,id
서울 1964년 겨울 #115,ko
Florante at Laura #903,fil
Siti Nurbaya #1066,id
คนละฟากฟ้า #1053,th
Padre Faura Witness the Execution of Rizal #1176,fil
三体 #1001,zh
破戒 #871,ja
狂人日记 #954,zh
삼대 #1211,ko
金閣寺 #1112,ja
活着 #1242,zh
Lagenda Budak Setan #415,ms
삼대 #971,ko
子夜 #1016,zh
Luha ng Buwaya #505,fil
무진기행 #1174,ko
El Filibusterismo #802,fil
살인자의 기억법 (2016),ko
광장 #233,ko
The Stones Cry Out #370,km
Banaag at Sikat #344,fil
羊をめぐる冒険 #725,ja
The Gate #886,km
Bidasari #831,ms
아리랑 #987,ko
กุหลาบป่า #1230,th
아리랑 #487,ko
三体 #801,zh
Panglima Awang #710,ms
흰 #1025,ko
痴人の愛 #955,ja
Survival in the Killing Fields #992,km
Never Fall Down #703,km
The Rosales Saga #635,fil
破戒 (2010),ja
First They Killed My Father #1141,km
ลูกอีสาน #304,th
Ayah #496,id
Ranjau Sepanjang Jalan #228,ms
平凡的世界 #484,zh
金瓶梅 #790,zh
白鹿原 #725,zh
The Stones Cry Out #830,km
人間失格 #876,ja
A Cambodian Prison Portrait #1015,km
雷雨 #1040,zh
Sejarah Melayu #182,ms
Padre Faura Witness the Execution of Rizal #316,fil
광장 #493,ko
ノルウェイの森 #341,ja
ตำนานสมเด็จพระนารายณ์ #1035,th
คำพิพากษา #703,th
The Stones Cry Out #1130,km
舞姫 #960,ja
ノルウェイの森 #1041,ja
Ilustrado #328,fil
Gapo #1014,fil
The Gate #426,km
작별인사 #983,ko
เลือดมังกร #252,th
朝花夕拾 #351,zh
태백산맥 #148,ko
Hujan #1160,id
彷徨 #413,zh
Survival in the Killing Fields #212,km
ตำนานสมเด็จพระนารายณ์ #1175,th
ノルウェイの森 #741,ja
痴人の愛 #875,ja
仮面の告白 #413,ja
토지 #1066,ko
こころ #226,ja
Lelaki Harimau #132,id
สุภาพบุรุษจุฑาเทพ #597,th
Bamboo People #897,km
Layar Terkembang #227,id
春 #978,zh
Cantik Itu Luka #1111,id
人間失格 #636,ja
Children of Cambodia's Killing Fields #269,km
สุภาพบุรุษจุฑาเทพ #1077,th
Layar Terkembang #927,id
Kekasih Electra #1073,ms
완득이 #879,ko
Smaller and Smaller Circles #1109,fil
Bidasari #791,ms
태백산맥 #1088,ko
破戒 #631,ja
風の歌を聴け #304,ja
Rumah Kaca #464,id
白鹿原 #365,zh
Mga Ibong Mandaragit #727,fil
How My Brother Leon Brought Home a Wife #539,fil
Laskar Pelangi #1034,id
Leftenan Adnan #476,ms
Rumah Kaca #624,id
무정 #329,ko
엄마를 부탁해 #556,ko
金閣寺 #752,ja
斜陽 #477,ja
Cantik Itu Luka #1211,id
อิเหนา #968,th
First They Killed My Father #861,km
"Stay Alive, My Son #1005",km
A Cambodian Prison Portrait #915,km
狂人日记 #534,zh
ลูกอีสาน #1124,th
7년의 밤 #438,ko
First They Killed My Father #841,km
春 #818,zh
秋 #599,zh
Laskar Pelangi #1094,id
Children of Cambodia's Killing Fields #1129,km
Layar Terkembang #387,id
ตำนานสมเด็จพระนารายณ์ #695,th
한강 #144,ko
斜陽 #677,ja
ด้วยรักและผูกพัน #1062,th
Sa Mga Kuko ng Liwanag #553,fil
伊豆の踊子 #110,ja
ノルウェイの森 #721,ja
A Cambodian Prison Portrait #215,km
Bidasari #1011,ms
吾輩は猫である #688,ja
Lagenda Budak Setan,ms
Bidasari #471,ms
朝花夕拾 #891,zh
围城 #203,zh
The Rosales Saga #295,fil
Interlok #987,ms
Salina #1086,ms
Layar Terkembang #987,id
吾輩は猫である #248,ja
อิเหนา #268,th
ลูกอีสาน #164,th
痴人の愛 #455,ja
Panglima Awang #830,ms
Ilustrado #528,fil
Little Princes #958,km
สุภาพบุรุษจุฑาเทพ #237,th
광장 #433,ko
こころ #286,ja
7년의 밤 #218,ko
風の歌を聴け #84,ja
Negeri 5 Menara #919,id
Luha ng Buwaya #685,fil
Hikayat Hang Tuah #181,ms
彷徨: Volume 3,zh
May Day Eve #1040,fil
태백산맥 #1248,ko
A Cambodian Prison Portrait #195,km
In the Shadow of the Banyan #1244,km
Lucky Child #1211,km
คนละฟากฟ้า #633,th
The Gate #1166,km
Leftenan Adnan #956,ms
Hikayat Hang Tuah #381,ms
Mga Kuwento ni Lola Basyang #591,fil
Siti Nurbaya #786,id
ข้าหลวง #294,th
อิเหนา #808,th
광장 #513,ko
상록수: Volume 5,ko
กุหลาบป่า #970,th
朝花夕拾 #631,zh
Lagenda Budak Setan #195,ms
ศรีบูรพา #169,th
คำพิพากษา #1143,th
白鹿原 #945,zh
山月記 #159,ja
ด้วยรักและผูกพัน #842,th
Survival in the Killing Fields #1032,km
Smaller and Smaller Circles #889,fil
ตำนานสมเด็จพระนารายณ์ - Part 5,th
Gapo #354,fil
เลือดมังกร #152,th
Cinta di Dalam Gelas #817,id
สี่แผ่นดิน #1125,th
Sa Mga Kuko ng Liwanag #853,fil
Ranjau Sepanjang Jalan #768,ms
Voices from S-21 #514,km
Sang Pemimpi,id
Pulang #173,id
Siti Nurbaya #1025,ms
First They Killed My Father #1041,km
살인자의 기억법 #997,ko
坊っちゃん #447,ja
西游记 #127,zh
Noli Me Tangere #561,fil
呐喊 #1212,zh
Bumi Manusia #641,id
三国演义 #189,zh
Lagenda Budak Setan #555,ms
Survival in the Killing Fields #172,km
金瓶梅 #730,zh
ข้าหลวง #374,th
金閣寺 #432,ja
ตำนานสมเด็จพระนารายณ์ #755,th
Penawar Bagi Hati #1218,ms
こころ #206,ja
Belenggu #169,id
아리랑 #407,ko
เสือคำราม #576,th
아리랑 #747,ko
ศรีบูรพา #1209,th
Noli Me Tangere #521,fil
Ilustrado #1048,fil
水浒传 #1048,zh
เสือคำราม #316,th
Anak Mat Lela Gila #389,ms
走れメロス #1198,ja
Ang Paboritong Libro ni Hudas #910,fil
围城 #543,zh
Ronggeng Dukuh Paruk #450,id
斜陽 #317,ja
红楼梦 #586,zh
무정 #849,ko
รักไม่มีสิทธิ์ #759,th
Ayah #736,id
Pulang #513,id
狂人日记 #594,zh
呐喊 #492,zh
무정 #729,ko
Children of Cambodia's Killing Fields #729,km
Mat Jenin #454,ms
吾輩は猫である #708,ja
Never Fall Down #343,km
細雪 #494,ja
Laskar Pelangi #434,id
Ranjau Sepanjang Jalan #488,ms
Mga Kuwento ni Lola Basyang #1111,fil
Never Fall Down #1183,km
狂人日记 #854,zh
Leftenan Adnan #1236,ms
한강 #204,ko
Ang Paboritong Libro ni Hudas #210,fil
Golden Bones #1219,km
Cantik Itu Luka #1031,id
人間失格 #1016,ja
Hujan #100,id
Merpati Putih Terbang Lagi #812,ms
광장 #1033,ko
海辺のカフカ #543,ja
彷徨 #833,zh
Ranjau Sepanjang Jalan #328,ms
Mga Ibong Mandaragit #587,fil
Bamboo People #477,km
Mga Ibong Mandaragit #1147,fil
Rice and Baguette #640,km
Florante at Laura #403,fil
ชาติหน้าขอให้พบกัน #431,th
The Death of Vishnu #476,km
Kekasih Electra #93,ms
朝花夕拾 #771,zh
Smaller and Smaller Circles #1169,fil
อิเหนา #348,th
海辺のカフカ #1043,ja
Florante at Laura,fil
朝花夕拾 #531,zh
围城 #123,zh
How My Brother Leon Brought Home a Wife #1099,fil
金閣寺 #692,ja
Padre Faura Witness the Execution of Rizal #416,fil
坊っちゃん #927,ja
Sa Mga Kuko ng Liwanag #473,fil
Perburuan #825,id
围城 #663,zh
완득이 #559,ko
Layar Terkembang (2006),id
Footnote to Youth #578,fil
The Stones Cry Out #970,km
Mga Kuwento ni Lola Basyang - Part 1,fil
Cantik Itu Luka #1151,id
Hujan #780,id
Hang Jebat Menderhaka #537,ms
ขุนช้างขุนแผน #526,th
Menara #219,ms
ด้วยรักและผูกพัน #522,th
Ilustrado #468,fil
Cambodia's Curse #373,km
Siti Nurbaya #1085,ms
Children of Cambodia's Killing Fields #169,km
Sulalat al-Salatin #543,ms
Jejak Langkah #943,id
呐喊 #772,zh
海辺のカフカ #623,ja
Laskar Pelangi #774,id
우리들의 행복한 시간 #1000,ko
Rice and Baguette #580,km
In the Shadow of the Banyan #604,km
斜陽 #1037,ja
The Death of Vishnu #216,km
1Q84 (2001),ja
Gadis Jolobu #120,ms
ศรีบูรพา: Volume 4,th
Tenggelamnya Kapal Van Der Wijck #704,ms
ข้าหลวง,th
Cinta di Dalam Gelas #1237,id
The Death of Vishnu #1176,km
난장이가 쏘아올린 작은 공 - Part 2,ko
The Lost Executioner #442,km
The Death of Vishnu #716,km
삼대 #1131,ko
Little Princes #338,km
คนละฟากฟ้า #333,th
家 #877,zh
Never Fall Down #663,km
Footnote to Youth #358,fil
คนละฟากฟ้า #513,th
Hujan #300,id
The Lost Executioner #1042,km
Pulang #1213,id
Jejak Langkah #843,id
Layar Terkembang: Volume 2,id
Cinta di Dalam Gelas #1117,id
สี่แผ่นดิน #85,th
Supernova #538,id
Little Princes #698,km
ศรีบูรพา #649,th
Gapo #814,fil
Bidasari #1131,ms
살인자의 기억법 #1117,ko
平凡的世界 #164,zh
한강 #544,ko
Rice and Baguette #200,km
Never Fall Down #1123,km
Perburuan #265,id
Lagenda Budak Setan #855,ms
Ranjau Sepanjang Jalan #688,ms
山月記 #259,ja
Mga Kuwento ni Lola Basyang #271,fil
呐喊 #512,zh
呐喊 #892,zh
舞姫 #740,ja
Cambodia's Curse #1233,km
우리들의 행복한 시간,ko
Cantik Itu Luka #111,id
こころ #166,ja
Children of Cambodia's Killing Fields #1249,km
Mga Kuwento ni Lola Basyang #391,fil
Sulalat al-Salatin #463,ms
Menara #579,ms
Hikayat Hang Tuah #1221,ms
채식주의자 #281,ko
완득이 #279,ko
Voices from S-21 #974,km
Sejarah Melayu #582,ms
ข้าหลวง #574,th
무정 #469,ko
엄마를 부탁해 #476,ko
雷雨 #760,zh
平凡的世界: Volume 4,zh
พระอภัยมณี #1127,th
Banaag at Sikat #864,fil
ノルウェイの森 #81,ja
秋 #679,zh
彷徨 #713,zh
소년이 온다 #402,ko
破戒 #111,ja
Panglima Awang #1030,ms
First They Killed My Father #161,km
Sang Pemimpi #1135,id
พระอภัยมณี #847,th
雷雨 #220,zh
"Stay Alive, My Son #1145",km
The Rosales Saga #315,fil
A Cambodian Prison Portrait #435,km
한강 #1144,ko
คำพิพากษา #163,th
무정 #909,ko
Luha ng Buwaya #945,fil
Rice and Baguette #480,km
Pulang #373,id
삼대 #1191,ko
Little Princes #798,km
สี่แผ่นดิน #305,th
The Gate #766,km
朝花夕拾 #451,zh
Sang Pemimpi #255,id
仮面の告白 #1193,ja
난장이가 쏘아올린 작은 공 #352,ko
Panglima Awang #670,ms
Hikayat Hang Tuah #81,ms
Interlok #767,ms
Golden Bones #879,km
한강 #264,ko
ABNKKBSNPLAko?! #952,fil
Never Fall Down #263,km
"Stay Alive, My Son #285",km
토지 #1166,ko
白鹿原 #505,zh
Penawar Bagi Hati #838,ms
Florante at Laura #523,fil
痴人の愛 #135,ja
Little Princes (2017),km
จดหมายจากหมาเบื่อ #321,th
Padre Faura Witness the Execution of Rizal #876,fil
仮面の告白 #793,ja
Lucky Child #451,km
Dekada '70 #446,fil
Salina #546,ms
子夜 #976,zh
กุหลาบป่า #1050,th
작별인사 #963,ko
ข้าหลวง #714,th
When Broken Glass Floats #727,km
삼대 - Part 1,ko
무정 #1209,ko
Luha ng Buwaya #1245,fil
ノルウェイの森 #621,ja
Ang Paboritong Libro ni Hudas #510,fil
阿Q正传 #1095,zh
กุหลาบป่า #230,th
阿Q正传 #115,zh
春 #238,zh
Panglima Awang #850,ms
The Rosales Saga #1195,fil
เสือคำราม #836,th
Little Princes #98,km
Salina #786,ms
Bumi Manusia #221,id
คำพิพากษา #483,th
春 #758,zh
Mat Jenin #1134,ms
Ang Paboritong Libro ni Hudas #770,fil
Voices from S-21 #1074,km
Noli Me Tangere #681,fil
Menara #259,ms
伊豆の踊子 #1110,ja
Dekada '70 #866,fil
광장 #853,ko
Perburuan #765,id
May Day Eve #900,fil
彷徨 #1033,zh
Noli Me Tangere #301,fil
무진기행 #754,ko
Footnote to Youth #938,fil
살인자의 기억법 #1097,ko
To Destroy You Is No Loss #128,km
彷徨 #893,zh
อิเหนา #508,th
春 #798,zh
子夜 #256,zh
Layar Terkembang #887,id
Merpati Putih Terbang Lagi #992,ms
พระอภัยมณี #947,th
채식주의자 - Part 1,ko
吾輩は猫である #1048,ja
ノルウェイの森 #681,ja
The Rosales Saga #455,fil
Siti Nurbaya #425,ms
三国演义 #289,zh
雷雨 #1120,zh
ลูกอีสาน #224,th
Ilustrado #228,fil
Gadis Jolobu #420,ms
Salina #306,ms
คนละฟากฟ้า #313,th
Gadis Jolobu #860,ms
ขุนช้างขุนแผน #1086,th
완득이 #1059,ko
서울 1964년 겨울 #1015,ko
เลือดมังกร,th
Footnote to Youth #638,fil
Supernova #598,id
Dead Stars #277,fil
Survival in the Killing Fields #752,km
Hikayat Hang Tuah #141,ms
The Lost Executioner #622,km
Layar Terkembang #347,id
伊豆の踊子 #170,ja
무진기행 #854,ko
살인자의 기억법 #437,ko
Anak Semua Bangsa #382,id
완득이 #179,ko
羊をめぐる冒険 #1105,ja
Sulalat al-Salatin #423,ms
Penawar Bagi Hati #418,ms
Panglima Awang #390,ms
Mga Kuwento ni Lola Basyang #231,fil
กุหลาบป่า #630,th
金瓶梅 #470,zh
ศรีบูรพา #409,th
西游记 #1227,zh
소년이 온다 #822,ko
Gapo #554,fil
こころ (2005),ja
Laskar Pelangi #474,id
呐喊 #272,zh
Anak Mat Lela Gila #609,ms
삼대 #411,ko
Children of Cambodia's Killing Fields #669,km
Sa Mga Kuko ng Liwanag #973,fil
Rice and Baguette #140,km
Perburuan #545,id
Mat Jenin #834,ms
Cantik Itu Luka #551,id
The Death of Vishnu #96,km
The Death of Vishnu #156,km
완득이 #999,ko
작별인사: Volume 3,ko
The Lost Executioner #722,km
คนละฟากฟ้า #93,th
The Lost Executioner #662,km
Anak Semua Bangsa #862,id
Mga Kuwento ni Lola Basyang #1071,fil
Supernova #158,id
Atheis #688,id
흰 #665,ko
토지 #666,ko
細雪 #114,ja
광장 #173,ko
Bumi Manusia #1121,id
First They Killed My Father #241,km
Ranjau Sepanjang Jalan #288,ms
Cambodia's Curse #1193,km
สี่แผ่นดิน #365,th
จดหมายจากหมาเบื่อ #981,th
광장 #393,ko
Rice and Baguette #280,km
May Day Eve #1080,fil
토지 #1106,ko
仮面の告白 #853,ja
走れメロス #558,ja
Luha ng Buwaya #765,fil
The Stones Cry Out #330,km
Rumah Kaca #604,id
พระอภัยมณี #387,th
家 #1037,zh
흰 - Part 5,ko
Children of Cambodia's Killing Fields #969,km
광장 #573,ko
仮面の告白 #493,ja
Lucky Child #731,km
ศรีบูรพา #1009,th
คนละฟากฟ้า #213,th
西游记 #427,zh
คนละฟากฟ้า: Volume 3,th
Menara #179,ms
三国演义 #1049,zh
Laskar Pelangi #574,id
雪国 #1249,ja
ノルウェイの森 #961,ja
走れメロス #638,ja
Jejak Langkah #403,id
Mga Ibong Mandaragit #1027,fil
彷徨 #433,zh
Voices from S-21 #1174,km
三国演义 #489,zh
風の歌を聴け #264,ja
仮面の告白 #273,ja
Hikayat Hang Tuah #281,ms
阿Q正传 #1175,zh
Rumah Kaca #744,id
三体 #821,zh
รักไม่มีสิทธิ์ #979,th
呐喊 #692,zh
Voices from S-21 #1094,km
토지 #926,ko
Footnote to Youth #758,fil
Footnote to Youth #1038,fil
Sang Pemimpi #975,id
Jejak Langkah #443,id
水浒传 #908,zh
Supernova #458,id
Mat Jenin #174,ms
痴人の愛 (2014),ja
흰 #425,ko
Kekasih Electra #533,ms
Bamboo People #1197,km
First They Killed My Father #941,km
The Stones Cry Out #310,km
Hang Jebat Menderhaka #1237,ms
Sa Mga Kuko ng Liwanag #1013,fil
Kekasih Electra #813,ms
Cinta di Dalam Gelas #1097,id
살인자의 기억법 #1037,ko
Padre Faura Witness the Execution of Rizal #396,fil
Gadis Jolobu #520,ms
Dead Stars #917,fil
Lucky Child #571,km
Padre Faura Witness the Execution of Rizal #176,fil
Negeri 5 Menara #219,id
우리들의 행복한 시간 #360,ko
Bumi Manusia #1041,id
When Broken Glass Floats #767,km
Anak Semua Bangsa #1122,id
子夜 #396,zh
Rumah Kaca #344,id
Dekada '70 #106,fil
Interlok #467,ms
Never Fall Down #463,km
Bumi Manusia #81,id
살인자의 기억법 #797,ko
Noli Me Tangere #421,fil
ขุนช้างขุนแผน #86,th
Bumi Manusia #501,id
围城 #1083,zh
완득이 #339,ko
Ilustrado #488,fil
Laskar Pelangi #894,id
風の歌を聴け #664,ja
走れメロス #1218,ja
7년의 밤 #878,ko
엄마를 부탁해 #736,ko
人間失格 #916,ja
西游记 #327,zh
ข้าหลวง #554,th
ขุนช้างขุนแผน #246,th
Sejarah Melayu #342,ms
坊っちゃん #467,ja
ตำนานสมเด็จพระนารายณ์ #775,th
완득이 #1019,ko
คนละฟากฟ้า #1133,th
Pulang #253,id
坊っちゃん #1147,ja
무진기행 #94,ko
斜陽 #277,ja
소년이 온다 #782,ko
มัจจุราชเริงรำ #418,th
Golden Bones,km
รักไม่มีสิทธิ์ #1179,th
Mat Jenin #194,ms
Banaag at Sikat #1244,fil
水浒传 #108,zh
仮面の告白 #393,ja
秋 #359,zh
